temp,spCond,pH,ODO,turb,fDOM,CHL,NO3
20.353,1112.9,7.76,96.67,35.29,53.78,4.53,31.47
20.353,1112.86,7.76,96.67,35.38,53.79,4.54,31.47
20.354,1112.84,7.76,96.68,35.42,53.82,5.51,31.84
20.352,1112.81,7.75,96.62,37.29,53.7,5.27,31.9
20.354,1114.29,7.74,96.46,35.67,53.59,5,31.67
20.356,1114.1,7.74,96.54,35.57,53.67,4.75,31.35
20.358,1113.27,7.75,96.64,35.85,53.75,4.5,31.99
20.354,1112.81,7.75,96.69,36.22,53.73,4.39,31.81
20.355,1113.31,7.75,96.7,36.28,53.69,4.54,31.76
20.358,1115.22,7.75,96.73,36.47,53.57,4.89,31.58
20.36,1116.44,7.75,96.73,37.74,53.36,5.12,31.83
20.365,1116.71,7.75,96.74,37.44,53.19,5.08,31.49
20.367,1116.62,7.75,96.74,37.29,53.2,4.9,31.87
20.369,1116.36,7.75,96.74,37.27,53.14,4.71,32.27
20.37,1115.97,7.75,96.75,36.38,53.05,4.58,31.68
20.371,1115.76,7.75,96.75,37.66,52.97,4.53,31.76
20.372,1115.51,7.75,96.75,38.1,52.92,4.49,31.87
20.371,1115.33,7.75,96.74,37.42,52.85,4.5,31.53
20.37,1115.41,7.75,96.74,37.94,52.77,4.58,31.62
20.369,1115.74,7.75,96.74,39.55,52.69,4.71,31.64
20.369,1116.33,7.75,96.73,36.6,52.61,4.77,31.88
20.369,1117.3,7.75,96.73,36.97,52.56,4.88,31.64
20.37,1118.44,7.75,96.72,36.89,52.52,4.95,31.95
20.372,1120.6,7.75,96.72,36.59,52.62,4.75,31.95
20.373,1121.36,7.74,96.72,36.52,52.71,4.56,31.71
20.374,1122.06,7.74,96.71,36.42,52.84,4.33,31.41
20.375,1122.58,7.74,96.71,37.33,52.93,4.13,31.5
20.377,1122.78,7.74,96.7,34.85,53.03,4.03,31.22
20.379,1123.07,7.74,96.69,37.16,53.16,3.99,31.64
20.381,1123.4,7.74,96.68,34.86,53.25,3.96,31.82
20.382,1123.47,7.74,96.67,34.29,53.3,3.96,31.71
20.383,1123.65,7.74,96.66,35.48,53.34,3.99,31.71
20.383,1123.59,7.74,96.66,33.26,53.4,3.99,31.52
20.382,1123.68,7.74,96.64,39.16,53.42,4.01,31.34
20.38,1123.83,7.74,96.62,35.59,53.46,4.03,31.95
20.378,1123.63,7.74,96.6,34.77,53.48,4.06,31.48
20.376,1124.03,7.74,96.58,34.63,53.51,4.1,31.96
20.375,1124.19,7.74,96.56,34.76,53.55,4.13,31.66
20.386,1126.25,7.74,96.62,35.75,53.42,4.32,31.7
20.41,1139.04,7.74,96.68,32.81,53.51,4.36,31.5
20.413,1139.86,7.74,96.69,35.64,53.52,4.29,31.95
20.416,1140.48,7.74,96.7,34.83,53.53,4.23,31.76
20.418,1141.22,7.74,96.71,34.92,53.54,4.16,32.26
20.421,1141.71,7.74,96.72,34.72,53.56,4.11,32.13
20.424,1142.33,7.74,96.73,34.5,53.56,4.06,31.55
20.426,1142.75,7.74,96.74,34.62,53.58,4.02,31.86
20.428,1143.2,7.74,96.75,34.68,53.58,3.99,31.72
20.429,1143.52,7.74,96.76,34.87,53.56,3.99,31.71
20.431,1143.67,7.74,96.77,34.94,53.55,3.97,31.97
20.432,1143.72,7.74,96.78,34.96,53.54,3.98,31.86
20.432,1143.76,7.74,96.79,35.03,53.57,4,31.81
20.433,1143.91,7.74,96.79,35.21,53.57,4.04,31.7
20.433,1143.91,7.74,96.8,35.28,53.55,4.07,31.99
20.433,1144.03,7.74,96.8,35.48,53.51,4.09,32.02
20.433,1144.16,7.74,96.81,35.56,53.49,4.1,31.82
20.433,1144.29,7.74,96.81,35.76,53.47,4.09,32.02
20.435,1144.5,7.74,96.82,35.87,53.44,4.12,31.7
20.436,1144.74,7.74,96.83,36.06,53.42,4.13,31.92
20.438,1144.9,7.75,96.84,36.2,53.39,4.15,31.88
20.439,1145.1,7.75,96.85,36.41,53.37,4.2,32.04
20.44,1145.23,7.75,96.86,36.57,53.34,4.24,31.78
20.442,1145.43,7.75,96.87,34.6,53.32,4.25,31.51
